Data source:,http://insideairbnb.com/get-the-data.html,,,,,,,,,,,,,,,,,,,,
Date:,03/11/2021,,,,,,,,,,,,,,,,,,,,
Description:,"AIRBNB New York, Staten Island data only",,,,,,,,,,,,,,,,,,,,
id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review,review_scores_rating,instant_bookable,reviews_per_month,no_of_pics
22649404,"@Ferry,2Bedroom/4bed.Private,Renovated/Stylish...",1715301,Mark,within a day,80%,32%,f,Stapleton,Staten Island,40.6336,-74.07766,Entire home/apt,$119.00,30,364,91,31/10/2020,4.87,f,2.1,
22730139,Staten Island full size living space-lower level,167595532,Nabil,N/A,N/A,N/A,f,Arden Heights,Staten Island,40.56162,-74.1837,Entire home/apt,$156.00,30,0,20,08/01/2019,4.11,f,0.53,
22856025,Newly Renovated Guest Room with Private Bath,34635838,Madeline,N/A,N/A,N/A,f,Bull's Head,Staten Island,40.60338,-74.16905,Private room,$46.00,1,0,34,16/05/2019,4.85,f,0.88,
23219361,Cozy Studio near South Beach :-),59966705,Justyna & Arek,within a few hours,100%,71%,t,Arrochar,Staten Island,40.59273,-74.07552,Entire home/apt,$80.00,2,316,60,23/08/2021,4.93,f,1.45,
23247442,"Contemporary Home Away from Home, Entire house",499896,,,,,,Tompkinsville,Staten Island,40.63575,-74.08098,Entire home/apt,$481.00,4,302,76,05/09/2021,4.87,t,2.01,
23336877,Welcoming House near Verrazano Bridge,173823383,Basia,N/A,N/A,N/A,f,Shore Acres,Staten Island,40.60827,-74.07139,Entire home/apt,$150.00,30,0,51,02/07/2019,4.8,f,1.31,
23597323,Staten Island Studio,99270668,Joseph,N/A,N/A,N/A,f,New Dorp,Staten Island,40.56853,-74.11843,Entire home/apt,$40.00,30,0,0,,,t,,
23839013,New 2-Bedrooms on Grymes Hill,148130073,Sebastian,N/A,N/A,N/A,t,Grymes Hill,Staten Island,40.61887,-74.09107,Entire home/apt,$115.00,6,138,123,07/09/2021,4.94,f,3.18,
24019172,Master Ensuite Private Bath,9263105,Wj,within a day,88%,89%,f,New Brighton,Staten Island,40.64374,-74.0949,Private room,$46.00,31,43,2,29/06/2019,5,f,0.63,
24019880,Cozy Ensuite Private Bath,9263105,Wj,within a day,88%,89%,f,New Brighton,Staten Island,40.6438,-74.09177,Private room,$42.00,31,14,1,02/08/2021,4,f,0.32,
24057583,Beautiful Studio Apt,181108819,Friday,N/A,N/A,N/A,f,Clifton,Staten Island,40.61989,-74.08581,Private room,$69.00,2,363,81,04/10/2021,4.23,f,1.87,
24412681,Cozy SI den with multiple with easy access to NYC,184233409,Lisa,a few days or more,0%,80%,f,Port Richmond,Staten Island,40.63241,-74.13834,Entire home/apt,$39.00,2,121,24,10/08/2021,4.67,f,0.6,
24476209,Inexpensive Private Room with NYC / SIUH/ Ka02/02,104812805,Amarjit S,within an hour,100%,98%,f,Concord,Staten Island,40.59807,-74.08416,Private room,$39.00,4,162,15,21/10/2021,4.8,f,3.06,
24573377,Inexpensive Pvt Rm NYC / SIUH/ Rumc,104812805,Amarjit S,within an hour,100%,98%,f,Arrochar,Staten Island,40.59697,-74.08324,Private room,$45.00,4,147,28,24/09/2021,4.68,f,0.66,
24653572,Staten Island retreat.,171590575,Anthony,N/A,N/A,N/A,f,Randall Manor,Staten Island,40.64174,-74.09864,Private room,$109.00,30,0,2,16/05/2018,5,f,0.05,
24868754,Inexpensive Pvt. Rm #3 NYC/SIUH/RUMC/ Amazon/Mall,104812805,Amarjit S,within an hour,100%,98%,f,Arrochar,Staten Island,40.59703,-74.08333,Private room,$39.00,4,76,28,19/02/2021,4.57,t,0.8,
24967000,Gorgeous Apartment,175116422,Karilyn,within an hour,100%,92%,t,Grant City,Staten Island,40.57828,-74.10947,Entire home/apt,$126.00,4,342,41,04/10/2021,4.9,f,1.06,
25127198,Traveler's / Student's Delight Ka 01 03,104812805,Amarjit S,within an hour,100%,98%,f,Arrochar,Staten Island,40.59697,-74.08324,Private room,$39.00,4,163,26,24/09/2021,4.81,f,0.71,
26106086,"Lg bedroom in historic house, modern amenities.",17011664,Ann Marie,a few days or more,0%,0%,f,St. George,Staten Island,40.64728,-74.08572,Private room,$55.00,30,176,0,,,f,,
